,state_abbr,geoid,ccid,chamber,district_name,name,dem_share,year,district_number,cc_score,seat_number,party,is_current
0,NC,37031,37031U,State Senate,State Senate District 31,Joyce Krawiec,43.6,2016.0,31,10,31,Republican,True
2,NC,37020,37020U,State Senate,State Senate District 20,Natalie Murdock,82.5,2016.0,20,9999,20,Democrat,True
4,NC,37050,37050U,State Senate,State Senate District 50,Harold Corbin,31.4,2016.0,50,26,50,Republican,True
7,NC,37021,37021U,State Senate,State Senate District 21,Benjamin Clark,65.3,2016.0,21,40,21,Democrat,True
10,NC,37043,37043U,State Senate,State Senate District 43,Kathryn Harrington,33.0,2016.0,43,13,43,Republican,True
12,NC,37040,37040U,State Senate,State Senate District 40,Joyce Waddell,71.0,2016.0,40,75,40,Democrat,True
14,NC,37019,37019U,State Senate,State Senate District 19,Kirk deViere,49.0,2016.0,19,100,19,Democrat,True
17,NC,37047,37047U,State Senate,State Senate District 47,Ralph Hise,27.6,2016.0,47,12,47,Republican,True
18,NC,37025,37025U,State Senate,State Senate District 25,Thomas McInnis,41.4,2016.0,25,10,25,Republican,True
21,NC,37012,37012U,State Senate,State Senate District 12,Jim Burgin,37.3,2016.0,12,25,12,Republican,True
24,NC,37001,37001U,State Senate,State Senate District 1,Robert Steinburg,42.5,2016.0,01,26,1,Republican,True
28,NC,37035,37035U,State Senate,State Senate District 35,Todd Johnson,33.6,2016.0,35,0,35,Republican,True
31,NC,37045,37045U,State Senate,State Senate District 45,Deanna Ballard,30.6,2016.0,45,6,45,Republican,True
34,NC,37013,37013U,State Senate,State Senate District 13,Danny Britt,43.7,2016.0,13,12,13,Republican,True
38,NC,37023,37023U,State Senate,State Senate District 23,Valerie Jean Foushee,67.4,2016.0,23,90,23,Democrat,True
40,NC,37010,37010U,State Senate,State Senate District 10,William Jackson,35.3,2016.0,10,10,10,Republican,True
42,NC,37008,37008U,State Senate,State Senate District 8,William Rabon,35.6,2016.0,08,10,8,Republican,True
44,NC,37022,37022U,State Senate,State Senate District 22,James Woodard,57.9,2016.0,22,88,22,Democrat,True
46,NC,37005,37005U,State Senate,State Senate District 5,Donald Davis,51.8,2016.0,05,72,5,Democrat,True
47,NC,37030,37030U,State Senate,State Senate District 30,Philip Berger,30.5,2016.0,30,11,30,Republican,True
